,name,amenity,lat,lon
4156,Shooter's Tap House,bar,49.219935,-122.6498708
4190,Foamers' Folly Tap Room,pub,49.2248337,-122.689108
4230,The Portside Pub,pub,49.2835624,-123.1038811
4278,Tap & Barrel,pub,49.2717552,-123.1060666
4279,Dukes Pub,pub,49.1303474,-122.0734617
4316,Firefighters' Public House,pub,49.2251023,-122.997148
4319,Great Bear Pub,pub,49.2231427,-122.9815705
4442,Catch Kitchen + Bar,bar,49.1236207,-123.1834451
4633,Gal Chae Karaoke,bar,49.222099299999996,-122.9817263
4646,The Belmont,bar,49.2790584,-123.1230287
4679,Aura,nightclub,49.2772912,-123.1257259
4708,Corduroy,pub,49.2725892,-123.1487921
4726,Steamworks,pub,49.2848692,-123.1109875
4736,The Frog and Nightgown Pub,pub,49.2796374,-122.8175723
4750,Local Public Eatery,pub,49.272446,-123.1553117
4751,The Ellis,pub,49.2716021,-123.155352
4752,Bottleneck,nightclub,49.2805575,-123.1207988
4835,White Rock Beach Beer,pub,49.0294267,-122.8019172
4854,Canadian Lounge,bar,49.1122996,-122.7301013
5011,The Bennett,pub,49.0053837,-122.7361939
5012,Donnelan's,pub,49.2782909,-123.1241919
5057,Fort Pub & Grill,pub,49.1711728,-122.577262
5091,The Magnet,pub,49.2824055,-123.1111441
5138,Sylvia's Bar,bar,49.2885782,-123.1426441
5151,Fringe,pub,49.26404,-123.174703
5163,Yagger's Kits,pub,49.2639533,-123.1696182
5267,Relish,pub,49.2802411,-123.1250614
5271,Library Square Public House,pub,49.2800328,-123.1146849
5272,Colony,bar,49.2590227,-123.1008347
5326,Chewies,pub,49.270944,-123.1552107
5491,Bowen Island Pub,pub,49.3794252,-123.3377721
5516,The Regal Beagle,pub,49.2640449,-123.1567706
5653,Truck Stop Diner,pub,49.2688201,-123.0967506
5708,Shebeen Whiskey House,bar,49.2828822,-123.1037866
5711,Irish Heather,pub,49.2828919,-123.1040897
5796,Encore,nightclub,49.2785234,-123.1238494
5847,Yagger's,bar,49.283201,-123.1123664
5922,Brewhall,pub,49.2694368,-123.103525
5992,The Pint,pub,49.2812723,-123.1077237
6052,The Bourbon,nightclub,49.2826091,-123.1057991
6065,One20 Public House,pub,49.1495495,-122.8908817
6095,Blackbird,pub,49.2851463,-123.1184912
6113,Storm Crow Tavern,bar,49.2728332,-123.069737
6147,Hearthstone Tap & Forno,pub,49.3234334,-123.1024615
6149,Sneakers Sports Lounge,bar,49.0470506,-122.2691498
6152,Red Accordion,pub,49.2902748,-123.1317492
6182,The Morrissey,bar,49.2768995,-123.1268568
6199,Moose's Down Under,pub,49.2855675,-123.1165611
6203,The Capital,bar,49.2814237,-123.1330616
6241,Portland Craft,bar,49.2506841,-123.1012022
6252,Off the tracks bar & bistro,pub,49.2702595,-123.1340523
6307,Murrayville Town Pub,bar,49.0902621,-122.6124961
6309,The Lamplighter Public House,pub,49.2837114,-123.106243
6419,Ravens Bar & Grill,bar,49.0224343,-122.3809138
6420,Ravens Bar & Bistro,bar,49.0224608,-122.3805333
6441,Twin Sails Brewery,pub,49.278541,-122.8484018
6447,Lions Pub,pub,49.2869412,-123.1148363
6458,Browns Socialhouse,pub,49.2248844,-122.8926368
6503,Kino Cafe Flamenco Tapas Bar,bar,49.2543533,-123.1149873
6508,Biercraft,pub,49.2558057,-123.1153793
6540,Wildeye Tasting Room,pub,49.3056675,-123.0347732
6554,Britannia Steveston,pub,49.1242908,-123.1839261
6555,Four Winds Tasting Room,bar,49.1362084,-123.0271058
6556,Trading Post Brewery and Tasting Room,bar,49.1185688,-122.6651089
6557,Five Roads Brewing,bar,49.1162645,-122.6634679
6559,Ravens Tasting Room,bar,49.0474734,-122.360602
6564,Field House Tasting Room,bar,49.0429142,-122.2816142
6605,Sawbuck's Neighbourhood Pub,pub,49.0316321,-122.8008429
6723,Trading Post Eatery,pub,49.1686753,-122.5799329
6925,Jack's Public House,pub,49.1679153,-122.8008127
7196,The Penthouse,nightclub,49.2784275,-123.1225756
7225,Guu Davie,pub,49.2822628,-123.1337681
7228,Score,bar,49.2823322,-123.1345615
7231,Commodore Ballroom,nightclub,49.2805916,-123.1207429
7370,The Dime,pub,49.2707953,-123.0697877
7400,Five Point,pub,49.2571036,-123.1008894
7406,The Ivanhoe,pub,49.2750615,-123.0996424
7445,Browns Socialhouse,pub,49.1327142,-122.3199168
7628,London Pub,pub,49.278388,-123.099578
7751,Mariner Tasting Room,bar,49.2774219,-122.8097447
7974,The Whip,bar,49.2655902,-123.1003893
8081,Ceili's Modern Irish Pub,pub,49.1703636,-123.1448324
8118,Mission Springs Brewing Company,pub,49.1321719,-122.3416713
8127,Devil's Elbow,bar,49.2802664,-123.1097483
8209,The Black Frog,pub,49.2845626,-123.1084807
8216,The Taphouse,pub,49.2464886,-122.8910088
8231,Park Drive,bar,49.2683984,-123.0698801
8235,Falconetti's,pub,49.2684563,-123.0694073
8245,St Augustine's,pub,49.2637854,-123.0695196
8269,Bar One,bar,49.056171,-122.3806171
8295,,pub,49.2037034,-123.1334192
8303,Seymour's Pub,pub,49.3127252,-123.0272348
8356,12 Kings Pub,pub,49.2603011,-123.0966837
8587,The Hastings Warehouse,pub,49.2821875,-123.1090478
8588,Malone's,pub,49.2840215,-123.1141074
8609,Electric Bicycle Brewing,bar,49.2672724,-123.1042375
8615,Dageraad Tasting Room,bar,49.2561559,-122.9221406
8651,Sidecar,pub,49.277605,-123.1257615
8659,Cabana,bar,49.2776684,-123.1256767
8688,Backstage Lounge,nightclub,49.2723207,-123.1342258
8762,The Attic,bar,49.1748746,-122.890693
8765,Donegal's Irish House,pub,49.1768204,-122.8878011
8819,Cat and Fiddle,pub,49.2527999,-122.7672467
8822,Hop & Vine,pub,49.2696427,-122.9464665
8844,Delta Lion Pub,pub,49.1550298,-122.9135108
8856,Fogg N' Suds,pub,49.1835444,-123.1046673
8934,,bar,49.1962403,-123.1783082
8976,Johnnie Fox's Irish Snug,pub,49.2789342,-123.1237243
9023,Shamrock Alley,bar,49.2873462,-123.141531
9025,Pat's Pub,pub,49.281417,-123.0949933
9026,The Diamond,bar,49.2831604,-123.1040262
9027,Six Acres,pub,49.2833904,-123.1044226
9068,Black Kettle Tasting Lounge,bar,49.3170584,-123.0926407
9069,Bridge Brewing Tasting Room,bar,49.3099735,-123.0339301
9070,Sailor Hägar's,pub,49.3135162,-123.0833432
9074,Beere Brewing Tasting Room,bar,49.308336,-123.0727453
9114,The Liberty Distillery,bar,49.2704154,-123.1346411
9215,Vino Volo,bar,49.1973521,-123.175138
9252,Resurrection Distillery and Lounge,bar,49.2820577,-123.0709121
9253,Finfolk,pub,49.2820425,-123.0723691
9360,Carlos O`Bryan's Neighborhood Pub,pub,49.2653352,-123.1453811
9369,Browns Crafthouse,pub,49.2838402,-123.1138503
9405,Parallel 49 Tasting Room & Beer Store,bar,49.2837876,-123.0641858
9406,Parallel 49 Street Kitchen,pub,49.2837887,-123.0643214
9409,,pub,49.2032866,-122.8919373
9420,The Junction,bar,49.2807293,-123.1323456
9481,Steel & Oak Tasting Room,bar,49.2021481,-122.9271199
9482,The Met,bar,49.2044231,-122.9059535
9501,,bar,49.1950633,-123.179939
9542,The Three Brits Public House,pub,49.2870731,-123.1418005
9551,The Moose,pub,49.2794324,-123.1235884
9604,Guilt & Co,pub,49.2836569,-123.1041219
9627,No. 5 Orange,bar,49.2830338,-123.0998209
9684,"Big ""B"" Saloon",bar,49.1340207,-122.3101942
9725,1181,bar,49.281603,-123.1328977
9728,Pumpjack,bar,49.2814951,-123.1327426
9853,Old Abbey Ales,bar,49.056369,-122.3832811
9886,Browns Social House,pub,49.2797733,-123.1130766
9893,Yaletown Brewing Company,pub,49.2754345,-123.1209961
9907,Bayside Lounge,bar,49.2872658,-123.1415278
10047,Taylight Tasting Room,bar,49.2421323,-122.7551179
10048,Northpaw Tasting Room,bar,49.2529917,-122.7332067
10049,Tinhouse Tasting Lounge,bar,49.251189600000004,-122.732744
10093,Steveston Built Local Taphouse,pub,49.1240805,-123.1809116
10102,The Den,bar,49.2874645,-123.1295818
10175,Dublin Calling,pub,49.2801019,-123.1213535
10205,Ventura Room,bar,49.2796906,-123.1130707
10206,Red Racer Taphouse,pub,49.2769066,-123.1154049
10257,Uncle Abe's,bar,49.2581178,-123.1009494
10267,The Emerald,bar,49.2801961,-123.0974652
10290,Central City Brewing Company,pub,49.1876904,-122.8484563
10345,Silver Valley,bar,49.2197846,-122.6016034
10354,Camp Beer,bar,49.1185646,-122.6782226
10355,Farm Country Tasting Room,bar,49.1051981,-122.6524037
10365,Maple Meadows Tasting Room,bar,49.2207369,-122.5911689
10366,Ridge Brewing,bar,49.2199788,-122.589564
10466,Wise Club & Hall,pub,49.2772898,-123.0660472
10468,Cedar Cottage Pub,pub,49.2513484,-123.0777934
10496,Darby's,pub,49.2814612,-123.1051707
10504,Fraternal Order of Eagles Aerie 2638,pub,49.314727,-123.0795961
10582,Biltmore Cabaret,bar,49.2603834,-123.096422
10719,Tugboat Annie's,pub,49.1690214,-122.9902779
10804,Samz,pub,49.2637537,-122.7814095
10857,Summit,bar,49.1061326,-122.656578
10858,Match Eatery & Public House Langley,pub,49.1063467,-122.6569933
10869,Dew Drop Inn,pub,49.0212249,-122.8050316
10879,Oceanside Public House,pub,49.021714,-122.8067325
10913,Dublin Crossing,pub,49.1242577,-122.7020835
10962,The Buck & Ear Bar and Grill,pub,49.1256453,-123.1859221
11002,Cashbox Karaoke Express,bar,49.1836115,-123.1354488
11124,Red Card Sports Bar + Eatery,bar,49.2793791,-123.120222
11126,Metropole,bar,49.2825107,-123.1068062
11131,Grand Union Hotel,pub,49.2817874,-123.1067495
11183,Main Street Tasting Lounge,bar,49.2646995,-123.0994151
11184,,bar,49.3793954,-123.0835597
11620,Meridian Arms Pub,pub,49.2719209,-122.757155
11623,The Bennett Craft & Kitchen,pub,49.2668041,-122.7727603
11742,Red Room,bar,49.2842279,-123.1113795
11759,Twelve West,bar,49.2770411,-123.1266332
11760,Milestones,pub,49.2639564,-123.1152029
11774,Kingston,pub,49.280708,-123.1172196
11892,Fountainhead Pub,pub,49.279654,-123.12973
11982,Cloud Hookah Lounge,nightclub,49.051316,-122.3131173
12184,The Brighton,bar,49.2812751,-123.0551908
12202,Sundowner,pub,49.1191476,-122.8914658
12357,Bismarck,bar,49.2804152,-123.1074119
12517,Caffe Barney,bar,49.2592073,-123.1389048
12627,Yellow Dog Brewing,pub,49.2785388,-122.8487087
12628,Moody Ales,pub,49.2786245,-122.8543622
12653,Andina Tasting Lounge,pub,49.2834684,-123.0736709
12716,Queens Cross,pub,49.3363613,-123.0721597
12718,Gator's Pub,pub,49.0488243,-122.2892706
12719,Vicinity Lounge,bar,49.0488518,-122.2892374
12804,Townhall Public House,pub,49.2368807,-122.8719474
12834,Pub 340,bar,49.2828092,-123.1092642
12900,The Narrow Lounge,pub,49.2683292,-123.1003762
12908,Two Parrots,bar,49.2769507,-123.1261599
12968,Moonrakers Pub,pub,49.2119854,-122.9211331
12977,River's Reach Pub,pub,49.2094623,-122.9160017
13039,Ballyhoo Public House,pub,49.2822225,-123.1241191
13067,Streetcar Tasting Room,bar,49.3112298,-123.0780215
13107,Granville Island Brewing Taproom,pub,49.2705549,-123.1356713
13119,Blarney Stone,pub,49.2827946,-123.1041486
13137,The New Oxford,bar,49.2757085,-123.1222873
13141,The Keefer,bar,49.2796198,-123.1013261
13327,Milltown Bar & Grill,bar,49.202401,-123.1442022
13389,Kelly's Pub,pub,49.1342493,-122.8450804
13411,The Wolf and Hound,pub,49.2644903,-123.1842004
13415,Manchester Public Eatery,pub,49.2639431,-123.1492041
13423,Lennox Pub,pub,49.281145,-123.119819
13453,Abbey Road Taphouse,pub,49.0356296,-122.2689408
13463,Russel Brewing Company,pub,49.2642338,-123.1725691
13476,Storm Crow Alehouse,pub,49.2638288,-123.1416759
13559,Habitat,pub,49.2514468,-123.0017365
13600,Grain Tasting Bar,bar,49.2852025,-123.1203437
13617,Loudmouth Brewing,bar,49.0491957,-122.3807688
13679,Jolly Mac's,pub,49.1989911,-122.8115444
13761,Sand Piper Pub,pub,49.016786,-122.7904237
13852,Craft Restaurant & Bar,pub,49.2705733,-123.1063824
13857,Dead Frog Tasting Room,bar,49.163033,-122.6667471
13859,Central City Beer Store,bar,49.2098846,-122.8633483
13867,Numbers,bar,49.2796989,-123.1303992
13926,Monkey 9 Brewing,pub,49.1347397,-123.0646481
13929,Steamworks Tap Room & Cold Beer Sales,bar,49.2740458,-123.019672
13961,The Union,pub,49.2777673,-123.0989237
14011,Mustang's,pub,49.0607423,-122.4948144
14026,Casino Slots & Gaming Floor at Hastings Racecourse,casino,49.2855421,-123.0401982
14057,Burrard Public House,pub,49.2769812,-122.857362
14109,V+Club,bar,49.1727356,-123.1351834
14207,One Under Vancouver,bar,49.2847445,-123.114506
14208,TAP shack Eatery,bar,49.2897968,-123.1212582
14287,33 Brewing Experiment,bar,49.2639071,-123.1055201
14288,33 Acres Brewing,bar,49.2639071,-123.1053136
14314,Bankrupt Social Spot,pub,49.0475617,-122.2919239
14324,Gator's Pub,pub,49.0485387,-122.289184
14343,Oscar's Pub,pub,49.2809539,-123.023841
14372,O'Hare's Gastropub,pub,49.1339963,-123.1692444
14520,3 Dogs Brewing,pub,49.0294857,-122.8013578
14536,Edith & Arthur Public House,pub,49.1557483,-122.7784001
14597,Finch and Barley,pub,49.3098238,-123.0735886
14599,North Point Tasting Room,bar,49.3095923,-123.07305
14632,Brew Street Pub,pub,49.2769132,-122.832616
14747,The Beaver Taphouse,pub,49.2789269,-123.1231338
14775,Brickhouse,pub,49.2780156,-123.0995912
14809,Plaza Premium Lounge,bar,49.1926913,-123.1815539
14813,Stanley Park Taphouse,pub,49.192278,-123.1802289
14817,Vino Volo,pub,49.1928061,-123.1819413
14895,Barnside Brewery Co.,pub,49.1122045,-123.0389345
14922,Signature Sports Bistro,bar,49.0375904,-122.3349289
15064,La Boqueria,bar,49.2804447,-123.0976766
15436,Another Beer Co Tasting Room,bar,49.2254886,-122.8859561
15441,Monster L Karaoke,bar,49.1777166,-123.1305411
15451,Mix-2 Karaoke,bar,49.2227248,-122.9834098
15459,Darby's Public House & Liqour Store,pub,49.2682508,-123.1686006
15518,Urban Gate Bar and Grill,bar,49.2818962,-122.7963804
15585,Pioneer's Pub,pub,49.14012,-123.1373979
15735,Brassneck Tasting Room,bar,49.2658067,-123.1005698
15736,Slow Hand Tasting Room,bar,49.2842649,-123.0672525
15927,Big Ridge Brewing Company,pub,49.103775,-122.8006309
15996,House of Funk Tasting Room,bar,49.3077475,-123.0712446
16145,Two Lions,pub,49.332636,-123.0893218
16195,St. James Well Pub,pub,49.2823155,-122.8258606
16666,Paddlewheeler Pub,pub,49.1999327,-122.9117725
16748,The Bakery Tasting Room,bar,49.2786444,-122.8532554
17027,The Flying Beaver,pub,49.1773107,-123.1681742
17051,The Village Taphouse,pub,49.3252622,-123.1426122
17692,John B Pub,pub,49.2487411,-122.8672207
17716,Brown's Social House,pub,49.2826657,-122.8269784
