,name,amenity,lat,lon
16047,Little Free Library #82540,public_bookcase,49.2341134,-123.1294627
16048,Little Free Library #27003,public_bookcase,49.2294397,-123.1436599
16049,Book exchange box,public_bookcase,49.2290431,-123.1555711
16050,,public_bookcase,49.2360291,-123.1786182
16051,Little Free Library #10606,public_bookcase,49.2302178,-123.1588091
16052,Book exchange box,public_bookcase,49.2329273,-123.1787923
16053,Little Free Library #86493,public_bookcase,49.250178,-123.1757774
16054,Little Free Library #33839,public_bookcase,49.2529273,-123.1755979
16056,,public_bookcase,49.2604826,-123.1718634
16057,,public_bookcase,49.2605546,-123.1765381
16069,Clearbrook Library,library,49.0538924,-122.3288971
16136,4 Cats Arts Studio,arts_centre,49.3375182,-123.1013939
16138,North Vancouver District Public Library — Capilano Branch,library,49.3373362,-123.1028994
16166,Maple Ridge Public Library,library,49.219939,-122.5999476
16199,,public_bookcase,49.2792085,-123.0791098
16200,Book and toy exchange,public_bookcase,49.2669858,-123.0734408
16201,Little Free Library #6034,public_bookcase,49.2641141,-123.0756448
16202,Book exchange box,public_bookcase,49.2576441,-123.0689615
16203,Findlay Street book exchange,public_bookcase,49.2555434,-123.0678513
16204,Welwyn book exchange,public_bookcase,49.2450487,-123.0700864
16205,Book exchange,public_bookcase,49.2513851,-123.0681184
16206,Little Free Library #81867,public_bookcase,49.2420287,-123.0641159
16214,Book exchange box,public_bookcase,49.2650791,-123.0622841
16371,Aurora Digitalis,arts_centre,49.2667256,-123.0967646
16372,Hfour,arts_centre,49.2666976,-123.096711
16373,,public_bookcase,49.2791453,-123.0372656
16374,,public_bookcase,49.2791589,-123.0393741
16375,,public_bookcase,49.2804084,-123.0393883
16376,,public_bookcase,49.283892,-123.0217775
16377,,public_bookcase,49.283672,-123.0138373
16435,George Mackie Library,library,49.1564259,-122.9118196
16675,Landmark Cinemas,cinema,49.2005685,-122.9136462
16733,,public_bookcase,49.2457693,-123.0941974
16734,,public_bookcase,49.2366301,-123.0684108
16735,Free art exchange,public_bookcase,49.2384217,-123.0714449
16736,Little Free Library #23317,public_bookcase,49.2396393,-123.0879824
16737,,public_bookcase,49.2402161,-123.0698025
16738,,public_bookcase,49.2212702,-123.0830134
16844,,public_bookcase,49.2728995,-123.057124
16845,,public_bookcase,49.2730536,-123.0617782
16973,Vancouver Public Library Oakridge Branch,library,49.2310395,-123.1185745
17058,,public_bookcase,49.0658162,-122.824825
17061,TARDIS,public_bookcase,49.049716599999996,-122.8686938
17109,,public_bookcase,49.140847,-122.5475514
17114,,public_bookcase,49.1679043,-122.5886611
17116,,public_bookcase,49.0874547,-123.0785595
17117,,public_bookcase,49.091813,-123.0505275
