,name,amenity,lat,lon,neighbourhood
325,Russel Brewing Company,pub,49.2642338,-123.1725691,Kitsilano
326,Storm Crow Alehouse,pub,49.2638288,-123.1416759,Fairview
328,Grain Tasting Bar,bar,49.2852025,-123.1203437,Downtown
332,Craft Restaurant & Bar,pub,49.2705733,-123.1063824,Mount Pleasant
335,Numbers,bar,49.2796989,-123.1303992,West End
338,The Union,pub,49.2777673,-123.0989237,Strathcona
340,Casino Slots & Gaming Floor at Hastings Racecourse,casino,49.2855421,-123.0401982,Hastings-Sunrise
343,One Under Vancouver,bar,49.2847445,-123.114506,Downtown
344,TAP shack Eatery,bar,49.2897968,-123.1212582,Downtown
345,33 Brewing Experiment,bar,49.2639071,-123.1055201,Mount Pleasant
346,33 Acres Brewing,bar,49.2639071,-123.1053136,Mount Pleasant
349,Oscar's Pub,pub,49.2809539,-123.023841,Hastings-Sunrise
356,The Beaver Taphouse,pub,49.2789269,-123.1231338,Downtown
357,Brickhouse,pub,49.2780156,-123.0995912,Strathcona
363,La Boqueria,bar,49.2804447,-123.0976766,Strathcona
367,Darby's Public House & Liqour Store,pub,49.2682508,-123.1686006,Kitsilano
370,Brassneck Tasting Room,bar,49.2658067,-123.1005698,Mount Pleasant
371,Slow Hand Tasting Room,bar,49.2842649,-123.0672525,Grandview-Woodland
